"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","formation","geological_group","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","tectonic_setting","geology_comments"
"2072","occ","","","247","Westergaardodina sp.","genus","","","Westergaardodina","genus","33828","Franconian","","497","486.85","51238","Chordata","Conodonta","Paraconodontida","NO_FAMILY_SPECIFIED","Westergaardodina","-110.215553","47.153610","Snowy Range","","Sage","","""limestone""","","","","","","shallow subtidal indet.","cratonic basin","""sh and flat pebble congl, shallow subtidal shelf, BA2, cratonic shelf"""
"2392","occ","","","275","Drepanodus sp.","genus","","","Drepanodus","genus","33904","Tremadoc","","486.4","477.1","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Drepanodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls and congl, muddy shelf lagoon (BA2) cratonic shelf"""
"2564","occ","","","286","Distomodus sp.","genus","","","Distomodus","genus","33901","Arenig","","477.1","468","60989","Chordata","Conodonta","Prioniodontida","Distomodontidae","Distomodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls, and congl. muddy shelf lagoon (BA2) cratonic shelf"""
"2565","occ","","","286","Drepanodus sp.","genus","","","Drepanodus","genus","33904","Arenig","","477.1","468","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Drepanodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls, and congl. muddy shelf lagoon (BA2) cratonic shelf"""
"2566","occ","","","286","Scolopodus sp.","genus","","","Scolopodus","genus","34069","Arenig","","477.1","468","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Scolopodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls, and congl. muddy shelf lagoon (BA2) cratonic shelf"""
"2598","occ","","","287","Drepanodus sp.","genus","","","Drepanodus","genus","33904","Tulean","","481.7","475.3","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Drepanodus","-110.215553","47.153610","Deadwood","","","","""limestone""","","","","","","lagoonal","passive margin","""sh, ls and congl., some ss. shelf lagoon, near shoreface. BA2. Cratonic shelf"""
"8097","occ","","","545","Psammodus sp.","genus","","","Psammodus","genus","34759","Kinderhookian","","358.86","351.9","60995","Chordata","Chondrichthyes","Psammodontiformes","Psammodontidae","Psammodus","-105.591667","47.416668","Alan Mountain Limestone","","upper","","""limestone""","","argillaceous,cherty/siliceous","","","","marine indet.","","""1-3 ft ls beds, some argillaceous partings, cherty.  BA4"""
"8098","occ","","","545","Chondrichthyes indet.","class","","","Chondrichthyes","class","34422","Kinderhookian","","358.86","351.9","60995","Chordata","Chondrichthyes","","","","-105.591667","47.416668","Alan Mountain Limestone","","upper","","""limestone""","","argillaceous,cherty/siliceous","","","","marine indet.","","""1-3 ft ls beds, some argillaceous partings, cherty.  BA4"""
"8740","occ","","","564","Conodontophorida indet.","order","","","Conodontophorida","order","33829","Osagean","","351.9","342.9","60995","Chordata","NO_CLASS_SPECIFIED","Conodontophorida","","","-105.591667","47.416668","Castle Reef Dolomite","","","","""limestone""","","cherty/siliceous","","","","marine indet.","","""ls and dolomitic ls, fairly massive, finely xtalline, some crinoidal beds and chert. BA4"""
"8741","occ","","","564","Chondrichthyes indet.","class","","","Chondrichthyes","class","34422","Osagean","","351.9","342.9","60995","Chordata","Chondrichthyes","","","","-105.591667","47.416668","Castle Reef Dolomite","","","","""limestone""","","cherty/siliceous","","","","marine indet.","","""ls and dolomitic ls, fairly massive, finely xtalline, some crinoidal beds and chert. BA4"""
"9944","occ","","","581","Conodonta indet.","class","","","Conodonta","class","33816","Chesterian","","335.4","323.4","348","Chordata","Conodonta","","","","-111.366669","47.299999","Otter","","","","""limestone""","","calcareous","""shale""","","","offshore","","""red-brn shale; calcareous; calcareouos streaks and limestone nodules are fossiliferous. Intt. w/fine grain light grey ls.).  Shallow, marginal marine conditions may have been more normal marine during deposition of this bed. BA2"""
"11104","occ","","","641","Paleonisciformes indet.","order","","","Paleonisciformes","order","219043","Famennian","","372.15","358.86","61148","Chordata","Actinopterygii","Paleonisciformes","","","-112.539444","46.011391","Sappington","","","","""shale""","","","","","","lagoonal","passive margin","""glossy black shale; fissile.  lagoonal, still water, poor circulation, shallow, very nearshore, 'marshlike,' reducing conditions. shelf (cratonic) BA1? could be BA6"""
